,MANDT_x,EBELN,EBELP,MATNR,BUKRS_x,WERKS,MENGE,NETPR,NETWR,LABNR,MANDT_y,LIFNR,BUKRS_y,BSTYP,BSART,LOEKZ,STATU,AEDAT,Total_NOV
56,100,4501116196,260,70000100387,1000,1000,1.0,184.0,184.0,,100,212505,1000,F,NB,,9,20220128,184.0
57,100,4501116196,340,70000063510,1000,1000,2.0,671.6,1343.2,,100,212505,1000,F,NB,,9,20220128,2686.4
58,100,4501116196,380,16973000173,1000,1000,2.0,120.06,240.12,,100,212505,1000,F,NB,,9,20220128,480.24
59,100,4501116196,430,70000075771,1000,1000,1.0,1334.0,1334.0,,100,212505,1000,F,NB,,9,20220128,1334.0
60,100,4501116196,310,16973001706,1000,1000,1.0,3189.64,3189.64,,100,212505,1000,F,NB,,9,20220128,3189.64
61,100,4501115449,360,70000100387,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
62,100,4501115449,450,70000063511,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
63,100,4501115449,420,16973001721,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
64,100,4501115449,401,70000131759,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
65,100,4501115449,350,70000100404,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
66,100,4501115449,440,16973001713,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
67,100,4501115449,460,70000141481,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
68,100,4501115449,480,70000139840,1000,1000,1.0,327.94,327.94,,100,212505,1000,F,NB,,9,20220120,327.94
69,100,4501115449,510,70000143001,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
70,100,4501115449,490,70000139839,1000,1000,1.0,313.11,313.11,,100,212505,1000,F,NB,,9,20220120,313.11
71,100,4501115449,430,16973001703,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
72,100,4501115449,370,70000128864,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
73,100,4501115449,411,70000131760,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
74,100,4501115515,480,1-162-011452,1000,1000,2.0,56.5,113.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,226.0
75,100,4501115515,510,1-300-002217,1000,1000,8.0,1.75,14.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,112.0
76,100,4501115515,440,1-162-011436,1000,1000,2.0,23.25,46.5,11.2.2022,100,300303,1000,F,NB,,9,20220121,93.0
77,100,4501115515,360,1-162-011401,1000,1000,6.0,41.5,249.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,1494.0
78,100,4501115515,490,1-162-011454,1000,1000,2.0,16.0,32.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,64.0
79,100,4501115515,160,1-162-011077,1000,1000,6.0,6.25,37.5,11.2.2022,100,300303,1000,F,NB,,9,20220121,225.0
80,100,4501115515,230,1-162-011112,1000,1000,6.0,5.0,30.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,180.0
81,100,4501115515,420,1-162-011434,1000,1000,2.0,24.75,49.5,11.2.2022,100,300303,1000,F,NB,,9,20220121,99.0
82,100,4501115515,410,1-162-011433,1000,1000,2.0,24.75,49.5,11.2.2022,100,300303,1000,F,NB,,9,20220121,99.0
83,100,4501115515,250,1-162-011113,1000,1000,6.0,5.0,30.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,180.0
84,100,4501115515,260,1-162-011113,1000,1000,6.0,5.0,30.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,180.0
85,100,4501115515,340,1-162-011395,1000,1000,6.0,33.0,198.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,1188.0
86,100,4501115515,540,1-300-002629,1000,1000,6.0,1.6,9.6,11.2.2022,100,300303,1000,F,NB,,9,20220121,57.599999999999994
87,100,4501115515,370,1-162-011407,1000,1000,10.0,5.75,57.5,11.2.2022,100,300303,1000,F,NB,,9,20220121,575.0
88,100,4501115515,500,1-162-011455,1000,1000,2.0,16.0,32.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,64.0
89,100,4501115515,430,1-162-011435,1000,1000,2.0,23.25,46.5,11.2.2022,100,300303,1000,F,NB,,9,20220121,93.0
90,100,4501115515,390,1-162-011408,1000,1000,10.0,2.75,27.5,11.2.2022,100,300303,1000,F,NB,,9,20220121,275.0
91,100,4501115515,470,1-162-011451,1000,1000,2.0,31.0,62.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,124.0
92,100,4501115515,240,1-162-011112,1000,1000,6.0,5.0,30.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,180.0
93,100,4501115515,330,1-162-011395,1000,1000,8.0,24.75,198.0,11.2.2022,100,300303,1000,F,NB,,9,20220121,1584.0
94,100,4501115515,120,1-162-011072,1000,1000,6.0,1.65,9.9,11.2.2022,100,300303,1000,F,NB,,9,20220121,59.400000000000006
95,100,4501115515,530,1-300-002629,1000,1000,8.0,1.2,9.6,11.2.2022,100,300303,1000,F,NB,,9,20220121,76.8
96,100,4501115117,160,70000094535,1000,1000,1.0,399.04,399.04,233708737 v.10.03.22,100,216140,1000,F,NB,,9,20220118,399.04
97,100,4501115117,130,70000055157,1000,1000,1.0,77.75,77.75,233708737 v. 21.01.,100,216140,1000,F,NB,,9,20220118,77.75
98,100,4501115117,290,07978410092,1000,1000,1.0,16.69,16.69,233708737 v. 28.03.2,100,216140,1000,F,NB,,9,20220118,16.69
99,100,4501115117,270,07915160040,1000,1000,1.0,135.62,135.62,233708737 v. 28.03.2,100,216140,1000,F,NB,,9,20220118,135.62
100,100,4501115117,280,07915160050,1000,1000,1.0,18.25,18.25,233708737 v. 28.03.2,100,216140,1000,F,NB,,9,20220118,18.25
101,100,4501115117,150,70000094534,1000,1000,1.0,618.34,618.34,233708737 v.10.03.22,100,216140,1000,F,NB,,9,20220118,618.34
102,100,4501115117,320,70000118214,1000,1000,1.0,166.92,166.92,233708737 v. 14.04.,100,216140,1000,F,NB,,9,20220118,166.92
103,100,4501115117,140,07915140075,1000,1000,1.0,2.39,2.39,233708737 v.10.03.22,100,216140,1000,F,NB,,9,20220118,2.39
104,100,4501115117,310,07915173010,1000,1000,1.0,28.46,28.46,233708737 v. 14.04.,100,216140,1000,F,NB,,9,20220118,28.46
105,100,4501115117,170,70000099584,1000,1000,1.0,39.82,39.82,233708737 v.10.03.22,100,216140,1000,F,NB,,9,20220118,39.82
106,100,4501115117,200,70000099695,1000,1000,2.0,8.13,16.26,233708737 v.10.03.22,100,216140,1000,F,NB,,9,20220118,32.52
107,100,4501115344,60,16665600166,1000,1000,2.0,31.31,62.62,G1037039/10.02.22,100,243054,1000,F,NB,,9,20220119,125.24
108,100,4501115344,50,16970450514,1000,1000,3.0,29.87,89.61,G1037039/09.05.22,100,243054,1000,F,NB,,9,20220119,268.83
109,100,4501115344,30,30970609125,1000,1000,2.0,33.52,67.04,,100,243054,1000,F,NB,,9,20220119,134.08
110,100,4501115925,220,16031780271,1000,1000,4.0,121.25,485.0,2211099,100,300935,1000,F,NB,,9,20220126,1940.0
111,100,4501115925,230,16038780455,1000,1000,1.0,752.0,752.0,2211099,100,300935,1000,F,NB,,9,20220126,752.0
112,100,4501115925,210,16125780677,1000,1000,1.0,948.0,948.0,2211099,100,300935,1000,F,NB,,9,20220126,948.0
113,100,4501115209,40,16671600840,1000,1000,1.0,531.46,531.46,6246875 v. 19.01.22,100,208996,1000,F,NB,,9,20220118,531.46
114,100,4501115704,20,16970720387,1000,1000,1.0,7846.72,7846.72,,100,212213,1000,F,NB,,9,20220124,7846.72
115,100,4501114845,50,16970981845,1000,1000,1.0,47.21,47.21,2051254,100,213554,1000,F,NB,,9,20220114,47.21
116,100,4501116275,200,1-162-010951,1000,1000,6.0,15.2,91.2,2220084 3.2.2022,100,293710,1000,F,NB,,9,20220131,547.2
117,100,4501116275,190,1-162-010951,1000,1000,8.0,11.4,91.2,2220084 3.2.2022,100,293710,1000,F,NB,,9,20220131,729.6
118,100,4501116016,20,06080420608,1000,1000,1.0,10.0,10.0,.,100,292482,1000,F,NB,,B,20220126,10.0
119,100,4501116413,40,WM5792465,1000,1000,2.0,14.59,29.18,,100,210191,1000,F,NB,,9,20220201,58.36
